Value,Diff
11137.65,-209.8
11347.45,-19.69
11367.14,-210.6
11577.74,196.75
11380.99,236.93
11144.06,-134.55
11278.61,30.74
11247.87,355.95
10891.92,-122.63
11014.55,25.46
10989.09,-161.13
11150.22,59.55
11090.67,351.32
10739.35,-129.03
10868.38,-351.32
11219.7,-20.65
11240.35,152.32
11088.03,-293.44
11381.47,97.42
11284.05,-180.1
11464.15,72.04
11392.11,-168.66
11560.77,52.67
11508.1,-170.97
11679.07,-171.14
11850.21,-110.3
11960.51,-41.86
12002.37,-87.89
12090.26,104.22
11986.04,-122.39
12108.43,-234.13
12342.56,62.39
12280.17,86.04
12194.13,-113.36
12307.49,-138.03
12445.52,102.3
12343.22,-119.93
12463.15,65.14
12398.01,-158.07
12556.08,-9.45
12565.53,78.51
12487.02,-166.47
12653.49,72.66
12580.83,-186.74
12767.57,120.09
12647.48,533.38
12114.1,-162.22
12276.32,165.91
12110.41,-370.6
12481.01,126.66
12354.35,-205.85
12560.2,-51.93
12612.13,-349.85
12961.98,-158.96
13120.94,-143.68
13264.62,-61.6
13326.22,-230.31
13556.53,49.25
13507.28,-160.83
13668.11,243.72
13424.39,-215.09
13639.48,279.22
13360.26,-48.36
13408.62,-203.06
13611.68,-295.57
13907.25,56.17
13851.08,585.61
13265.47,83.56
13181.91,-57.63
13239.54,160.46
13079.08,-299.79
13378.87,21.13
13357.74,244.36
13113.38,-329.14
13442.52,-377.67
13820.19,-75.44
13895.63,-170.38
14066.01,-27.07
14093.08,571.06
13522.02,-284.68
13806.7,211.6
13595.1,552.36
13042.74,-134.05
13176.79,195.91
12980.88,-390.84
13371.72,-253.86
13625.58,285.73
13339.85,-110.8
13450.65,84.78
13365.87,565.69
12800.18,193.88
12606.3,507
12099.3,-107.87
12207.17,-536.02
12743.19,561.06
12182.13,-166.08
12348.21,-32.81
12381.02,114.63
12266.39,372.7
11893.69,-57.4
11951.09,-410.23
12361.32,144.92
12216.4,-393.02
12609.42,284
12325.42,-523.94
12849.36,-42.5
12891.86,-166.34
13058.2,312.32
12745.88,-240.92
12986.8,507.17
12479.63,-158.69
12638.32,428.51
12209.81,-97.54
12307.35,464.66
11842.69,496.18
11346.51,57.97
11288.54,188
11100.54,-396.03
11496.57,125.88
11370.69,44.37
11326.32,-408
11734.32,74.42
11659.9,31.84
11628.06,84.51
11543.55,322.59
11220.96,-201.03
11421.99,33.55
11388.44,245.31
11143.13,817.75
10325.38,1874.19
8451.19,-401.03
8852.22,473.27
8378.95,-946.06
9325.01,381.2
8943.81,446.5
8497.31,450.89
8046.42,-782.62
8829.04,193.62
8635.42,5.74
8629.68,50.57
8579.11,63.56
8515.55,-519.14
9034.69,435.51
8599.18,317.96
8281.22,203.66
8077.56,76.7
8000.86,-279.73
8280.59,430.18
7850.41,484.74
7365.67,302.74
7062.93,435.99
6626.94,-597.04
7223.98,-54.4
7278.38,-497.8
7776.18,-241.41
8017.59,-113.74
8131.33,55.04
8076.29,-136.12
8212.41,-362.24
8574.65,306.01
8268.64,-8.68
8277.32,-223.01
8500.33,-262.8
8763.13,-36.13
8799.26,259.53
8539.73,101.34
8438.39,291.87
8146.52,-597.42
8743.94,-349.3
9093.24,-78.37
9171.61,-198.46
9370.07,48.67
9321.4,-184.56
9505.96,-38.24
9544.2,102.93
9441.27,-164.14
9605.41,-214.79
9820.2,155.01
9665.19,177.52
9487.67,-377.27
9864.94,-130.97
9995.91,23.73
9972.18,259.45
9712.73,-310.69
10023.42,-247.05
10270.47,-47.69
10318.16,8.24
10309.92,-78.98
10388.9,-82.6
10471.5,142.61
10328.89,-289.3
10618.19,8.54
10609.65,436.67
10172.98,105.65
10067.33,55.1
10012.23,-86.91
10099.14,-303.21
10402.35,77.09
10325.26,-240.94
10566.2,-58.49
10624.69,-117.29
10741.98,-108.38
10850.36,-146.99
10997.35,-21.31
11018.66,-185.62
11204.28,195.67
11008.61,628.18
10380.43,-239.73
10620.16,426.77
10193.39,56.76
10136.63,204.66
9931.97,-279.1
10211.07,-239.57
10450.64,306.83
10143.81,457.33
9686.48,-511.55
10198.03,100.13
10097.9,-326.72
10424.62,-41.32
10465.94,-187.62
10653.56,350.41
10303.15,89.53
10213.62,62.97
10150.65,-297.28
10447.93,-14.84
10462.77,-145.08
10607.85,-252.41
10860.26,30.58
10829.68,-176.8
11006.48,-56.3
11062.78,-69.78
11132.56,14.07
11118.49,-325.59
11444.08,251.5
11192.58,-10.97
11203.55,111.55
11092,-290.09
11382.09,-28.23
11410.32,-81.59
11491.91,-81.58
11573.49,-4.02
11577.51,-97.25
11674.76,-112.62
11787.38,-84.46
11871.84,48.14
11823.7,-268.45
12092.15,-181.11
12273.26,-117.99
12391.25,260.8
12130.45,-39.43
12169.88,125.48
12044.4,185.88
11858.52,-362.07
12220.59,-156.13
12376.72,-3.33
12380.05,38.22
12341.83,-164.16
12505.99,-304.55
12810.54,171.8
12638.74,42.99
12595.75,83.71
12512.04,70.46
12441.58,290.32
12151.26,199.35
11951.91,-52.45
12004.36,69.78
11934.58,-648.19
12582.77,-74.43
12657.2,177.47
12479.73,-201.43
12681.16,537.92
12143.24,698.63
11444.61,175.59
11269.02,451.37
10817.65,-466.89
11284.54,44.28
11240.26,248.13
10992.13,-516.96
11509.09,737.61
10771.48,-141.9
10913.38,-189.74
11103.12,-541.37
11644.49,-164.3
11808.79,-422.32
12231.11,247.87
11983.24,-170.44
12153.68,357.52
11796.16,564.38
11231.78,-787.64
12019.42,-164.84
12184.26,317.87
11866.39,-427.61
12294,76.44
12217.56,-142.36
12359.92,-62.14
12422.06,-298.42
12720.48,60.02
12660.46,-201.77
12862.23,61
12801.23,-148.64
12949.87,-33.08
12982.95,5.38
12977.57,55.55
12922.02,-310.6
13232.62,151.89
13080.73,-131.31
13212.04,151.9
13060.14,210.55
12849.59,-179.67
13029.26,-199.05
13228.31,190.04
13038.27,217.67
12820.6,451.22
12369.38,-85.45
12454.83,336.26
12118.57,-435.63
12554.2,-212.97
12767.17,126.39
12640.78,-239.31
12880.09,107.62
12772.47,-4.62
12777.09,-45.48
12822.57,-253.09
13075.66,-20.51
13096.17,-111.78
13207.95,-67.25
13275.2,117.23
13157.97,67.13
13090.84,-215.8
13306.64,-286.73
13593.37,13.9
13579.47,142.34
13437.13,-173.02
13610.15,281.3
13328.85,-14.66
13343.51,236.3
13107.21,14.05
13093.16,277.77
12815.39,227.08
12588.31,-421.37
13009.68,-15.9
13025.58,-129.55
13155.13,20.12
13135.01,-55.83
13190.84,252.73
12938.11,-497.1
13435.21,-53.22
13488.43,-161.27
13649.7,-246.28
13895.98,-113.81
14009.79,16.82
13992.97,11.21
13981.76,-18.81
14000.57,-89.09
14089.66,-307.41
14397.07,-117.04
14514.11,02.08
14512.03,-66.51
14578.54,13.29
14565.25,-299.81
14865.06,317.55
14547.51,-165.04
14712.55,-261.41
14973.96,-144.53
15118.49,-235.91
15354.4,51.3
15303.1,187.53
15115.57,-132.55
15248.12,177.94
15070.18,270.78
14799.4,-110.2
14909.6,-226.24
15135.84,-328.46
15464.3,-79.44
15543.74,-15.09
15558.83,-99.53
15658.36,232.85
15425.51,344.04
15081.47,70.96
15010.51,200.2
14810.31,-112.19
14922.5,-453.56
15376.06,-75.03
15451.09,192.85
15258.24,185.66
15072.58,-164.53
15237.11,-162.54
15399.65,-170.63
15570.28,-45.27
15615.55,-146.23
15761.78,-199.92
15961.7,-103.07
16064.77,-21.64
16086.41,66.21
16020.2,264.84
15755.36,-465.78
16221.14,-257.27
16478.41,8.42
16469.99,32.94
16437.05,-21.51
16458.56,579.45
15879.11,180.26
15698.85,-95.23
15794.08,-360.31
16154.39,51.09
16103.3,-218.41
16321.71,-131.01
16452.72,387.05
16065.67,-237.1
16302.77,-20.29
16323.06,-89.65
16412.71,385.96
16026.75,-381.79
16408.54,47.08
16361.46,-151.43
16512.89,-70.45
16583.34,92.03
16491.31,-114.96
16606.27,-110.9
16717.17,-207.11
16924.28,148.54
16775.74,-171.34
16947.08,95.24
16851.84,-216.42
17068.26,124.45
16943.81,-156.37
17100.18,139.61
16960.57,467.2
16493.37,-60.56
16553.93,-108.98
16662.91,-338.31
17001.22,-97.23
17098.45,-38.91
17137.36,149.85
16987.51,-292.23
17279.74,166.59
17113.15,103.46
17009.69,465.59
16544.1,163.69
16380.41,-425
16805.41,-585.11
17390.52,-183.41
17573.93,-60.81
17634.74,-175.32
17810.06,-18.18
17828.24,-130.55
17958.79,677.96
17280.83,-523.97
17804.8,-248.91
18053.71,220.72
17832.99,95.62
17737.37,225.8
17511.57,-161.03
17672.6,507.65
17164.95,-659.34
17824.29,-195.06
18019.35,-121.09
18140.44,7.74
18132.7,275.92
17856.78,107.47
17749.31,-378.34
18127.65,414.99
17712.66,-50.58
17763.24,-294.41
18057.65,231.35
17826.3,-253.84
18080.14,56.08
18024.06,-167.05
18191.11,-81.45
18272.56,40.54
18232.02,221.34
18010.68,161.22
17849.46,-49.38
17898.84,-117.11
18015.95,69.27
17946.68,216.57
17730.11,-30.3
17760.41,-326.04
18086.45,517.92
17568.53,-121.33
17689.86,316.48
17373.38,-104.02
17477.4,1017.65
16459.75,-183.26
16643.01,540.63
16102.38,-330.71
16433.09,48.3
16384.79,70.12
16314.67,-157.7
16472.37,-612.12
17084.49,-131.48
17215.97,-430.73
17646.7,-16.84
17663.54,-246.79
17910.33,665.09
17245.24,-578.57
17823.81,25.32
17798.49,-49.14
17847.63,582.42
17265.21,136.66
17128.55,-423.62
17552.17,127.14
17425.03,1078.58
16346.45,358.37
15988.08,-105.43
16093.51,-372.79
16466.3,261.47
16204.83,230.99
15973.84,-418.15
16391.99,-247.98
16639.97,-366.8
17006.77,-206.54
17213.31,-388.99
17602.3,86.57
17515.73,-277.02
17792.75,215.79
17576.96,-320.5
17897.46,-106.29
18003.75,230.11
17773.64,33.01
17740.63,205.31
17535.32,34.38
17500.94,-372.28
17873.22,66.16
17807.06,-58.28
17865.34,190.18
17675.16,274.41
17400.75,-548.62
17949.37,-197.37
18146.74,-369.81
18516.55,-54.3
18570.85,138.61
18432.24,-111.29
18543.53,-32.94
18576.47,23.9
18552.57,157.17
18395.4,-96.56
18491.96,406.51
18085.45,-38.35
18123.8,-137.65
18261.45,-46.7
18308.15,67.66
18240.49,102.11
18138.38,-7.33
18145.71,-15.48
18161.19,272.91
17888.28,-959.38
18847.66,-20.27
18867.93,-284.21
19152.14,-18.28
19170.42,-586.43
19756.85,-86.56
19843.41,-90.4
19933.81,171.21
19762.6,-201.2
19963.8,78.07
19885.73,58.48
19827.25,-266.53
20093.78,22.32
20071.46,-197.91
20269.37,-354.68
20624.05,-197.71
20821.76,-183.95
21005.71,102.73
20902.98,-11.64
20914.62,317.9
20596.72,-66.5
20663.22,7.12
20656.1,202.85
20453.25,-94.51
20547.76,-392.75
20940.51,-66.43
21006.94,110.33
20896.61,91.77
20804.84,-275.44
21080.28,-126.01
21206.29,-65.68
21271.97,-112.31
21384.28,-10.48
21394.76,45.13
21349.63,-64.71
21414.34,-223.4
21637.74,57.67
21580.07,-250.24
21830.31,-262.5
22092.81,234.49
21858.32,183.81
21674.51,-139.16
