Value,Diff
1236.53,12.15
1224.38,17
1207.38,-30.14
1237.52,35.78
1201.74,-4.97
1206.71,24.18
1182.53,-8.17
1190.7,-35.23
1225.93,20.98
1204.95,-11.7
1216.65,-2.32
1218.97,31.03
1187.94,-32.36
1220.3,31.36
1188.94,25.73
1163.21,-12.7
1175.91,-23.07
1198.98,-5.19
1204.17,19.21
1184.96,-33.13
1218.09,-9.27
1227.36,-48.7
1276.06,-1.66
1277.72,-12.25
1289.97,7.95
1282.02,6.18
1275.84,-23.52
1299.36,29.7
1269.66,22.31
1247.35,-20.1
1267.45,0.67
1266.78,7.73
1259.05,-6.63
1265.68,-0.88
1266.56,-8.62
1275.18,27.94
1247.24,-26.94
1274.18,-11.16
1285.34,-16.63
1301.97,-13.44
1315.41,-1.01
1316.42,15.46
1300.96,-23.52
1324.48,-10.98
1335.46,01.01
1334.45,-4.15
1338.6,-20.94
1359.54,2.46
1357.08,04.03
1353.05,32.26
1320.79,08.07
1312.72,-5.6
1318.32,-15.69
1334.01,-1.68
1335.69,28.01
1307.68,9.74
1297.94,-22.85
1320.79,-7.95
1328.74,-11.2
1339.94,-28.9
1368.84,12.32
1356.52,-33.73
1390.25,-14.11
1404.36,-30.73
1435.09,-29.24
1464.33,-7.8
1472.13,-5.05
1477.18,-58.03
1535.21,-7.79
1543,0
1543,-6.2
1549.2,35.67
1513.53,-23.17
1536.7,6.77
1529.93,-41.06
1570.99,-42.43
1613.42,-51.03
1664.45,-33.26
1697.71,-11.35
1709.06,9.23
1699.83,-92.91
1792.74,24.18
1768.56,-53.16
1821.72,82.5
1739.22,-50.96
1790.18,-50.22
1840.4,4.83
1835.57,60.89
1774.68,-14.75
1789.43,29.63
1759.8,-63.49
1823.29,-53.42
1876.71,-9.19
1885.9,11.71
1874.19,-5.35
1879.54,-5.72
1885.26,-15.61
1900.87,79.44
1821.43,43.45
1777.98,-32.06
1810.04,46.4
1763.64,-18.98
1782.62,-72.98
1855.6,-32.2
1887.8,-10.54
1898.34,-1.41
1899.75,141.03
1758.72,-3.93
1762.65,-7.04
1769.69,-4.49
1774.18,-18.99
1793.17,-43.87
1837.04,4.68
1832.36,-45.35
1877.71,-8.82
1886.53,12.94
1873.59,-19.97
1893.56,-20.67
1914.23,-10.83
1925.06,12.8
1912.26,-16.59
1928.85,-1.55
1930.4,03.09
1927.31,-78.6
2005.91,-70.72
2076.63,-24.89
2101.52,-56.52
2158.04,-28.83
2186.87,3.52
2183.35,-51.89
2235.24,11.25
2223.99,-56.24
2280.23,21.57
2258.66,-74.86
2333.52,-2.28
2335.8,-54.54
2390.34,51.56
2338.78,62.79
2275.99,40.62
2235.37,-45.03
2280.4,-41.9
2322.3,49.78
2272.52,29.32
2243.2,-48.37
2291.57,-34.58
2326.15,-51.58
2377.73,-43.12
2420.85,-16.01
2436.86,0.16
2436.7,-19.29
2455.99,-54.05
2510.04,24.71
2485.33,-86.74
2572.07,-19.93
2592,-93.43
2685.43,-24.07
2709.5,70.15
2639.35,77.97
2561.38,-47.36
2608.74,84.1
2524.64,-45.53
2570.17,-70.82
2640.99,158.78
2482.21,235.48
2246.73,295.97
1950.76,-42.77
1993.53,34.48
1959.05,24.04
1935.01,21.38
1913.63,3.15
1910.48,143.74
1766.74,-100.3
1867.04,-108.26
1975.3,-24.37
1999.67,60.84
1938.83,27.52
1911.31,-44.76
1956.07,52.56
1903.51,-54.71
1958.22,47.74
1910.48,-72.78
1983.26,-31.33
2014.59,-8.62
2023.21,-34.65
2057.86,22.88
2034.98,-52.39
2087.37,108.42
1978.95,-9.11
1988.06,-102.13
2090.19,76.26
2013.93,-1.16
2015.09,-17.24
2032.33,24.87
2007.46,16.91
1990.55,37.96
1952.59,-3.85
1956.44,-114.87
2071.31,-30.4
2101.71,-2.31
2104.02,-38.94
2142.96,11.38
2131.58,25.43
2106.15,-23.3
2129.45,68.46
2060.99,-67.74
2128.73,9.6
2119.13,81.61
2037.52,21.52
2016,-1.43
2017.43,-37.16
2054.59,-14.22
2068.81,-29.34
2098.15,7.47
2090.68,-22.23
2112.91,-37.34
2150.25,17.07
2133.18,-50.32
2183.5,33.61
2149.89,04.09
2145.8,78.77
2067.03,4.62
2062.41,-12.27
2074.68,-17.6
2092.28,-51.21
2143.49,-7.22
2150.71,-18.22
2168.93,0.36
2168.57,-25.72
2194.29,-31.78
2226.07,-9.29
2235.36,-87.5
2322.86,-8.39
2331.25,45.18
2286.07,-38.75
2324.82,79.28
2245.54,-28.75
2274.29,-7.85
2282.14,-10
2292.14,49.1
2243.04,-50.58
2293.62,-11.18
2304.8,-32.26
2337.06,-72.4
2409.46,-9.34
2418.8,36.84
2381.96,-57.74
2439.7,-61.4
2501.1,7.33
2493.77,-24.06
2517.83,4.41
2513.42,27.04
2486.38,-45.49
2531.87,91.81
2440.06,-47.8
2487.86,-66.96
2554.82,-52.54
2607.36,-27.88
2635.24,-18.21
2653.45,-30.54
2683.99,-3.98
2687.97,-44.39
2732.36,-19.73
2752.09,42.55
2709.54,34.96
2674.58,-7.03
2681.61,-11.21
2692.82,-92.7
2785.52,216.26
2569.26,-119.88
2689.14,92.42
2596.72,-32.79
2629.51,3.9
2625.61,-27.05
2652.66,-22.89
2675.55,-72.1
2747.65,16.21
