Date,Value,Diff,logreturn,DiffLog
1977-09-02,97.45,-1.08,-0.004839984469752,-0.011144476090373698
1977-09-09,96.37,0.109999999999999,0.000495435812188,0.001140783115679142
1977-09-16,96.48,-1.44,-0.006530867158958,-0.015037877364540446
1977-09-23,95.04,1.49,0.006755878552988,0.015555985246188953
1977-09-30,96.53,-0.560000000000002,-0.002526811386337,-0.005818198230987391
1977-10-07,95.97,-2.41,-0.011045281666654,-0.025432700913558016
1977-10-14,93.56,-1.24000000000001,-0.005794417325459,-0.013342138956189
1977-10-21,92.32,0.290000000000006,0.001362088390102,0.0031363244223883576
1977-10-28,92.61,-1.03,-0.004857245010079,-0.011184219953228255
1977-11-04,91.58,4.40000000000001,0.020380106404724,0.04692692920115014
1977-11-11,95.98,-0.650000000000006,-0.002951152574247,-0.006795279924612772
1977-11-18,95.33,1.36,0.006151967209842,0.0141654279899694
1977-11-25,96.69,-2.02,-0.00916918311462,-0.021112824354656334
1977-12-02,94.67,-1.02,-0.004704595406121,-0.010832731250702275
1977-12-09,93.65,-0.25,-0.001160905481163,-0.002673083655300575
1977-12-16,93.4,1.28999999999999,0.005957240321909,0.013717052760611791
1977-12-23,94.69,0.409999999999997,0.001876400385411,0.004320571555935824
1977-12-30,95.1,-3.47999999999999,-0.016190229497349,-0.037279381092748455
1978-01-06,91.62,-1.93000000000001,-0.009246263425167,-0.021290308328684383
1978-01-13,89.69,0.200000000000003,0.000967356412657,0.002227420455396321
1978-01-20,89.89,-1.31,-0.006375704478815,-0.014680602090255861
1978-01-27,88.58,1.04000000000001,0.005069263628284,0.011672410862944944
1978-02-03,89.62,0.459999999999994,0.002223437930247,0.005119655033383161
1978-02-10,90.08,-2.12,-0.010343156818518,-0.023815998704819905
1978-02-17,87.96,0.530000000000001,0.002608974413574,0.0060073855926983015
1978-02-24,88.49,-1.03999999999999,-0.005134381287632,-0.011822349814647623
1978-03-03,87.45,1.42999999999999,0.007044232118116,0.016219943866763474
1978-03-10,88.88,1.32000000000001,0.006402491609131,0.014742281737203431
1978-03-17,90.2,-0.840000000000003,-0.004063377434389,-0.009356272307632784
1978-03-23,89.36,-0.150000000000006,-0.000729620738172,-0.0016800138352531797
1978-03-31,89.21,0.960000000000008,0.004648530305651,0.010703636586123352
1978-04-07,90.17,2.75,0.013047131453166,0.030042130390392975
1978-04-14,92.92,1.42,0.006586670781485,0.01516636995390713
1978-04-21,94.34,2.48999999999999,0.011314059943578,0.02605158576732402
1978-04-28,96.83,-0.299999999999997,-0.001347625663155,-0.0031030227629159387
1978-05-05,96.53,1.53999999999999,0.006873869109925,0.01582766854370508
1978-05-12,98.07,0.050000000000011,0.000221364234317,0.0005097099860597547
1978-05-19,98.12,-1.54000000000001,-0.00687033847002,-0.015819538944892766
1978-05-26,96.58,1.56,0.006958852580569,0.016023350216361584
1978-06-02,98.14,1.79000000000001,0.007849833765943,0.01807491021194063
1978-06-09,99.93,-2.51000000000001,-0.011047762175088,-0.02543841249530145
1978-06-16,97.42,-1.57000000000001,-0.00705600802167,-0.016247058886743125
1978-06-23,95.85,-0.319999999999993,-0.001452339468327,-0.0033441352097364303
1978-06-30,95.53,-0.640000000000001,-0.002919331110369,-0.006722008296249815
1978-07-07,94.89,2.69,0.012140367140862,0.027954228402024044
1978-07-14,97.58,0.170000000000002,0.000755952291657,0.0017406444777841182
1978-07-21,97.75,2.25,0.009883233932096,0.022756987122616278
1978-07-28,100.0,3.92,0.016699138064972,0.03845118637425285
1978-08-04,103.92,0.039999999999992,0.000167132764003,0.0003848374109453879
1978-08-11,103.96,0.77000000000001,0.003204832704867,0.0073794000117648985
1978-08-18,104.73,0.170000000000002,0.000704384659716,0.001621905617197044
1978-08-25,104.9,-1.22,-0.00508049966704,-0.011698282798286908
1978-09-01,103.68,3.11,0.012835597984811,0.02955505657948916
1978-09-08,106.79,-2.67,-0.010996427074131,-0.025320209057089264
1978-09-15,104.12,-2.28,-0.009615768791599,-0.022141125877213518
1978-09-22,101.84,0.700000000000003,0.002974922458781,0.0068500121064033895
1978-09-29,102.54,0.97999999999999,0.004130950220245,0.009511864397035837
1978-10-06,103.52,1.14,0.004756467079021,0.010952170191471324
1978-10-13,104.66,-6.70999999999999,-0.028776290072891,-0.06625985655351199
1978-10-20,97.95,-3.36,-0.015159214863188,-0.034905382165470615
1978-10-27,94.59,1.59,0.007239547270222,0.016669673624437383
1978-11-03,96.18,-1.41000000000001,-0.006413892112977,-0.014768532367413129
1978-11-10,94.77,-0.349999999999994,-0.001606884529575,-0.003699988363962767
1978-11-17,94.42,1.37,0.006256177163871,0.014405380276659802
1978-11-24,95.79,0.489999999999995,0.002215908343885,0.005102317520070747
1978-12-01,96.28,0.349999999999994,0.001575897936362,0.0036286390963458782
1978-12-08,96.63,-1.3,-0.005882386517199,-0.01354469550573031
1978-12-15,95.33,0.980000000000004,0.004441789838041,0.010227599067286238
1978-12-22,96.31,-0.200000000000003,-0.000902805609185,-0.002078786737579942
1978-12-29,96.11,3.02,0.013436528927313,0.030938751209613164
1979-01-05,99.13,0.800000000000011,0.003490781232515,0.008037820828891894
1979-01-12,99.93,-0.180000000000007,-0.000782983052053,-0.0018028851037252005
1979-01-19,99.75,2.11,0.009090767481373,0.02093226568648575
1979-01-26,101.86,-2.36,-0.010180591094434,-0.023441677291911458
1979-02-02,99.5,-1.63,-0.007173492426871,-0.016517576726818913
1979-02-09,97.87,0.799999999999997,0.003535539883463,0.008140881431347191
1979-02-16,98.67,-0.890000000000001,-0.003935095274501,-0.009060891718575825
