id,pressure
0,1007.5265
1,1007.7538
2,1007.7349
3,1007.6998
4,1007.8346
5,1007.8658
6,1007.9117
7,1008.0966
8,1008.2182
9,1008.1994
10,1008.248
11,1008.4031
12,1008.6093
13,1008.6687
14,1008.6682
15,1008.6345
16,1008.5708
17,1008.6016
18,1008.5769
19,1008.5085
20,1008.6767
21,1008.7948
22,1008.7882
23,1008.8715
24,1009.0178
25,1009.1496
26,1009.3136
27,1009.3613
28,1009.6086
29,1009.6055
30,1009.6267
31,1009.7809
32,1009.8276
33,1009.696
34,1009.653
35,1009.6883
36,1009.7643
37,1009.8993
38,1009.8793
39,1009.6897
40,1009.4676
41,1009.3988
42,1009.474
43,1009.4647
44,1009.637
45,1009.5251
46,1009.417
47,1009.2627
48,1009.2259
49,1009.0897
50,1009.0323
51,1009.0449
52,1009.0476
53,1009.2382
54,1009.2327
55,1009.2947
56,1009.1065
57,1009.2648
58,1009.2851
59,1009.4074
60,1009.4363
61,1009.3925
62,1009.3863
63,1009.2602
64,1009.3036
65,1009.4714
66,1009.5628
67,1009.5355
68,1009.5127
69,1009.5046
70,1009.503
71,1009.3887
72,1009.4848
73,1009.5525
74,1009.7115
75,1009.859
76,1009.872
77,1009.8607
78,1009.8452
79,1009.8465
80,1009.8814
81,1009.9021
82,1010.0332
83,1010.2424
84,1010.5419
85,1010.6848
86,1010.7064
87,1010.7089
88,1010.9938
89,1011.2786
90,1011.4746
91,1011.5944
92,1011.662
93,1011.5858
94,1011.4939
95,1011.5041
96,1011.4984
97,1011.4842
98,1011.3776
99,1011.4451
100,1011.3569
101,1011.1435
102,1010.9649
103,1010.7685
104,1010.453
105,1010.4249
106,1010.2308
107,1010.18
108,1010.0694
109,1009.9744
110,1009.8195
111,1009.6437
112,1009.5173
113,1009.242
114,1009.0393
115,1008.9753
116,1008.9625
117,1008.8455
118,1008.7204
119,1008.5666
120,1008.5055
121,1008.4068
122,1008.2405
123,1008.0438
124,1007.9581
125,1007.8256
126,1007.7551
127,1007.5987
128,1007.582
129,1007.4364
130,1007.3707
131,1007.3081
132,1007.2699
133,1007.1783
134,1007.2225
135,1007.2528
136,1007.3053
137,1007.3518
138,1007.3566
139,1007.3916
140,1007.377
141,1007.3715
142,1007.4311
143,1007.5109
144,1007.4453
145,1007.5983
146,1007.6449
147,1007.8532
148,1007.812
149,1007.7718
150,1007.7983
151,1007.8753
152,1007.8838
153,1007.912
154,1008.092
155,1008.1454
156,1008.135
157,1008.1177
158,1008.1272
159,1008.2636
160,1008.4603
161,1008.7079
162,1008.9252
163,1008.9949
164,1009.0257
165,1009.0327
166,1008.934
167,1008.9696
168,1008.9962
169,1008.9949
170,1008.9967
171,1009.0195
172,1008.9794
173,1008.9529
174,1008.87
175,1008.7081
176,1008.6915
177,1008.693
178,1008.6404
179,1008.4916
180,1008.423
181,1008.37
182,1008.0905
183,1008.0438
184,1008.0261
185,1007.8836
186,1007.7384
187,1007.7224
188,1007.4905
189,1007.3852
190,1007.3503
191,1007.189
192,1006.9995
193,1006.8299
194,1006.7754
195,1006.751
196,1006.7794
197,1006.7833
198,1006.7669
199,1006.7338
200,1006.5848
201,1006.556
202,1006.6243
203,1006.5885
204,1006.6069
205,1006.5923
206,1006.7695
207,1006.824
208,1006.8479
209,1007.0456
210,1007.1796
211,1007.3313
212,1007.419
213,1007.4996
214,1007.6173
215,1007.6415
216,1007.6888
217,1007.9137
218,1007.9918
219,1008.1553
220,1008.2825
221,1008.3516
222,1008.4008
223,1008.573
224,1008.6114
225,1008.8161
226,1008.9762
227,1009.1913
228,1009.3288
229,1009.5843
230,1009.9003
231,1010.0596
232,1010.2168
233,1010.3992
234,1010.4542
235,1010.4664
236,1010.3401
237,1010.2998
238,1010.2528
239,1010.2184
240,1010.2283
241,1010.2026
242,1010.0759
243,1009.9959
244,1009.7008
245,1009.6451
246,1009.4978
247,1009.3664
248,1009.3372
249,1009.3239
250,1009.2366
251,1009.1919
252,1009.085
253,1009.0012
254,1008.8439
255,1008.8239
256,1008.655
257,1008.4288
258,1008.2805
259,1008.095
260,1007.9785
261,1007.8368
262,1007.7031
263,1007.5792
264,1007.4055
265,1007.3501
266,1007.1933
267,1006.9754
268,1006.8046
269,1006.5873
270,1006.507
271,1006.4856
272,1006.4969
273,1006.4981
274,1006.3477
275,1006.249
276,1006.16
277,1006.1911
278,1006.1027
279,1006.0713
280,1005.9847
281,1005.9512
282,1006.0424
283,1006.1642
284,1006.1955
285,1006.2619
286,1006.3515
287,1006.3383
288,1006.4315
289,1006.4283
290,1006.4836
291,1006.6811
292,1006.7957
293,1006.9243
294,1007.0729
295,1007.2189
296,1007.2688
297,1007.2886
298,1007.3042
299,1007.33
300,1007.3697
301,1007.4939
302,1007.4949
303,1007.4245
304,1007.4817
305,1007.5566
306,1007.5706
307,1007.608
308,1007.717
309,1007.8141
310,1007.7898
311,1007.7817
312,1007.7787
313,1007.7935
314,1007.8623
315,1007.9382
316,1008.0772
317,1008.1382
318,1008.2413
319,1008.3503
320,1008.4034
321,1008.4217
322,1008.3888
323,1008.3429
324,1008.1038
325,1007.8962
326,1007.6109
327,1007.5085
328,1007.5695
329,1007.4609
330,1007.4189
331,1007.2215
332,1007.0864
333,1007.0556
334,1006.8669
335,1006.7362
336,1006.7696
337,1006.5825
338,1006.5172
339,1006.5854
340,1006.5917
341,1006.5257
342,1006.5027
